date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:39	557/557	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:1468cb2563f25f1b66bda909a5109863%22	https://www.fanflixbd.com/robots.txt		(from )
14:36:40	356754/356754	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:28802aa2142c72c2fe219813ff583510%22	https://www.fanflixbd.com/	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/index.html	(from )
14:36:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:05%20GMT	http://www.fanflixbd.com/cdn/shop/files/photo_2024-06-26_10-56-16.jpg?crop=center&height=32&v=1719377796&width=32	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/files/photo_2024-06-26_10-56-16.04b4e.delayed	(from https://www.fanflixbd.com/)
14:36:40	1667/1667	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Feb%202025%2002:09:35%20GMT	https://www.fanflixbd.com/cdn/shop/files/photo_2024-06-26_10-56-16.jpg?crop=center&height=32&v=1719377796&width=32	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/files/photo_2024-06-26_10-56-164b4e.jpg	(from https://www.fanflixbd.com/)
14:36:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:06%20GMT	http://cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/prefetch_critical_resourcess.js	C:/My%20Web%20Sites/Fanflix/cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/prefetch_critical_resourcess.2.delayed	(from https://www.fanflixbd.com/)
14:36:41	0/0	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Apr%202025%2013:55:36%20GMT	https://cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/prefetch_critical_resourcess.js	C:/My%20Web%20Sites/Fanflix/cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/prefetch_critical_resourcess.js	(from https://www.fanflixbd.com/)
14:36:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:06%20GMT	http://www.fanflixbd.com/cdn/shop/files/Copy_of.png?v=1726860272	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/files/Copy_of40aa.png	(from https://www.fanflixbd.com/)
14:36:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:07%20GMT	http://cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/preload.js	C:/My%20Web%20Sites/Fanflix/cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/preload.js	(from https://www.fanflixbd.com/)
14:36:43	0/0	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2020%20Apr%202025%2013:54:55%20GMT	https://cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/preload.js	C:/My%20Web%20Sites/Fanflix/cdn.shopify.com/s/files/1/0689/0976/0669/t/1/assets/preload.js	(from https://www.fanflixbd.com/)
14:36:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:08%20GMT	http://www.fanflixbd.com/cdn/shop/t/10/assets/constants.js?v=132983761750457495441730287779	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/t/10/assets/constantsb2f7.js	(from https://www.fanflixbd.com/)
14:36:45	258/258	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2026%20Nov%202024%2006:01:43%20GMT	https://www.fanflixbd.com/cdn/shop/t/10/assets/constants.js?v=132983761750457495441730287779	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/t/10/assets/constantsb2f7.js	(from https://www.fanflixbd.com/)
14:36:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:09%20GMT	http://www.fanflixbd.com/cdn/shop/t/10/assets/pubsub.js?v=158357773527763999511730287779	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/t/10/assets/pubsub1111.js	(from https://www.fanflixbd.com/)
14:36:46	2485165/2485165	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202025%2006:39:14%20GMT	https://www.fanflixbd.com/cdn/shop/files/Copy_of.png?v=1726860272	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/files/Copy_of40aa.png	(from https://www.fanflixbd.com/)
14:36:47	477/477	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2027%20Nov%202024%2007:34:23%20GMT	https://www.fanflixbd.com/cdn/shop/t/10/assets/pubsub.js?v=158357773527763999511730287779	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/t/10/assets/pubsub1111.js	(from https://www.fanflixbd.com/)
14:36:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:11%20GMT	http://www.fanflixbd.com/cdn/shop/t/10/assets/global.js?v=88558128918567037191730287779	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/t/10/assets/global1ab0.js	(from https://www.fanflixbd.com/)
14:36:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20May%202025%2008:36:13%20GMT	http://www.fanflixbd.com/cdn/shop/t/10/assets/details-disclosure.js?v=13653116266235556501730287779	C:/My%20Web%20Sites/Fanflix/www.fanflixbd.com/cdn/shop/t/10/assets/details-disclosure7a2e.js	(from https://www.fanflixbd.com/)
